"code","iso","country","TBN.ind.1996","TBN.ind.1997","TBN.ind.1998","TBN.ind.1999","TBN.ind.2000","TBN.ind.2001","TBN.ind.2002","TBN.ind.2003","TBN.ind.2004","TBN.ind.2005","TBN.ind.2006","TBN.ind.2007","TBN.ind.2008","TBN.ind.2009","TBN.ind.2010","TBN.ind.2011","TBN.ind.2012","TBN.ind.2013","TBN.ind.2014","TBN.ind.2015","TBN.ind.2016","TBN.ind.2017","TBN.ind.2018","TBN.ind.2019","TBN.ind.2020","TBN.ind.2021","TBN.ind.2022","TBN.ind.2023","TBN.ind.2024","TBN.ind.2025"
108,"BDI","Burundi",18.8962325344969,18.8962325344969,18.8962325344969,18.8962325344969,19.8883729058515,19.8883729058515,20.3380661302805,20.3380661302805,20.3380661302805,20.3380661302805,20.3380661302805,20.3380661302805,20.3380661302805,20.3380661302805,20.3380661302805,20.3596559919333,20.3596559919333,26.43602020582,26.43602020582,26.43602020582,26.43602020582,26.43602020582,26.43602020582,26.43602020582,26.43602020582,26.43602020582,26.43602020582,26.43602020582,26.43602020582,26.43602020582
132,"CPV","Cabo Verde",0,0,0,0,0,0,0,48.729882986019,48.729882986019,49.7129264365697,49.7129264365697,49.7129264365697,49.7129264365697,49.7129264365697,49.7129264365697,49.7129264365697,49.7129264365697,49.7132826587093,49.7132826587093,49.7132826587093,49.7132826587093,49.7132826587093,49.7132826587093,49.7132826587093,49.7132826587093,49.7132826587093,49.7132826587093,49.7132826587093,49.7132826587093,49.7132826587093
116,"KHM","Cambodia",46.0802544701897,46.0802544701897,46.0802544701897,46.3480395031913,46.3480395031913,46.4649485303703,46.4649485303703,46.4649485303703,46.4649485303703,46.4649485303703,46.4649485303703,46.4649485303703,46.4649485303703,46.4649485303703,46.4649485303703,46.4649485303703,46.4649485303703,46.4649485303703,46.4649485303703,46.857318369296,86.5961831332057,100,100,100,100,100,100,100,100,100
120,"CMR","Cameroon",7.92033967061843,7.92033967061843,7.92033967061843,7.92033967061843,12.8758945105314,14.4300536585345,14.4300536585345,14.4300536585345,15.6748770431534,19.6391420993988,19.6420953774284,23.72705559377,24.5408917114546,24.9605573196863,26.2333407982035,26.2333407982035,30.321586572324,30.321586572324,31.5106875798344,32.2210208357298,32.2210208357298,32.2210208357298,33.0647989921849,33.0647989921849,33.0647989921849,33.0647989921849,33.0647989921849,33.0647989921849,33.0647989921849,33.0647989921849
124,"CAN","Canada",18.0415017599997,18.327379383643,19.2657078087658,20.0335838980998,20.3252213075764,21.1258634526269,21.2510918336611,23.0145555155261,23.4061551366315,24.1893022383341,24.4207800623566,24.5288166039619,25.4140742052903,26.3316713738876,26.593230775762,27.3793059787078,28.8202698485623,30.020896326459,30.1147356332469,31.3631129160722,31.660298593698,31.7754001412059,35.2394821519667,37.8738201987923,38.0489099957243,38.7623672730407,38.9830488244503,39.4070866024693,40.0779514397653,40.0779514397653
136,"CYM","Cayman Islands",25.7438407699086,29.0525012489442,29.0525012489442,29.0525012489442,29.0525012489442,29.0525012489442,29.0525012489442,29.0525012489442,29.1799412088331,29.1799412088331,29.1799412088331,29.1799412088331,29.1799412088331,29.1799412088331,30.2229322548037,30.2275825358869,30.2399492303782,30.6358132264851,30.6872870137648,30.6872870137648,30.6872870137648,30.6872870137648,30.6872870137648,30.6872870137648,30.6872870137648,30.6872870137648,30.6872870137648,30.6872870137648,30.6872870137648,30.6872870137648
140,"CAF","Central African Republic",39.18435972042,39.18435972042,39.1844106486393,39.1844106486393,39.1844106486393,39.1844106486393,39.1844106486393,39.1844106486393,39.1844106486393,39.7253585613343,39.7253585613343,39.7253585613343,39.7253585613343,39.7532766365217,39.7532766365217,39.7532766365217,39.7532766365133,39.7532766365133,39.7532766365133,39.7532766365133,39.7532766365133,39.7532766365133,39.7532766365133,39.7532766365133,39.7532766365133,39.7532766365133,39.7532766365133,39.7532766365133,39.7532766365133,39.7532766365133
148,"TCD","Chad",37.9561617089037,37.9561617089037,37.9561617089037,37.9561617089037,37.9561617089037,39.8852561506557,39.8852561506557,39.8852561506557,41.959130946,49.6103244955393,56.4474899852827,56.4474899852827,60.1946895675827,60.1946895675827,60.391290030091,60.391290030091,60.391290030091,60.391290030091,60.391290030091,60.391290030091,60.391290030091,60.391290030091,60.391290030091,60.391290030091,60.391290030091,60.391290030091,60.391290030091,60.391290030091,61.48466009488,61.48466009488
152,"CHL","Chile",44.1215015627977,44.121501562801,44.2089997070613,44.2302441724973,44.4191441830037,44.4191441830037,44.4191441830037,44.419937091154,44.4924697913607,47.6023003525057,47.617517992636,47.6211284940337,47.6857439722913,47.8913835361217,48.1749625359537,48.183817081321,48.183817081321,48.1912298950673,48.7071168176877,48.8833275038783,48.8929315421357,48.8992476226113,51.2695802251447,54.6687928960503,54.7048665618337,54.7167442427213,54.9441236186097,56.1236996517547,56.1272899319937,56.1272899319937
156,"CHN","China",0.50254240253645,0.50887535715753,0.50887535715753,0.573859398018937,0.573859398018937,0.573859398018937,1.13561122630857,1.13561122630857,1.25824694735131,1.25824694735131,1.25824694735131,1.25824694735131,1.34216766094757,1.34228359229057,1.34228359229057,1.52903521284862,1.52903521284862,1.61349371095998,1.61349371095998,1.64014889539932,1.64014889539932,1.64014889539932,2.6540622705597,2.6540622705597,2.78820453200537,2.78820453200537,2.89476971071507,2.89476971071507,2.89476971071507,2.89476971071507
