"code","iso","country","COE.ind.1996","COE.ind.1997","COE.ind.1998","COE.ind.1999","COE.ind.2000","COE.ind.2001","COE.ind.2002","COE.ind.2003","COE.ind.2004","COE.ind.2005","COE.ind.2006","COE.ind.2007","COE.ind.2008","COE.ind.2009","COE.ind.2010","COE.ind.2011","COE.ind.2012","COE.ind.2013","COE.ind.2014","COE.ind.2015","COE.ind.2016","COE.ind.2017","COE.ind.2018","COE.ind.2019","COE.ind.2020","COE.ind.2021","COE.ind.2022","COE.ind.2023","COE.ind.2024","COE.ind.2025"
600,"PRY","Paraguay",NA,NA,NA,NA,NA,NA,NA,46.5124340067225,48.7833052625771,52.7561254848301,51.8268079998898,48.4360459483654,59.2391668606285,59.1659073782351,57.4994444228501,61.3888478829069,57.6748053589705,60.6116192797022,61.4633441533411,58.395848168814,60.396884658522,59.5762838856511,60.7010862904826,56.3321670102281,50.5116561810547,54.5627268627442,57.5945436304208,55.9782451145796,50.4122402977084,NA
604,"PER","Peru",NA,NA,NA,NA,NA,NA,NA,63.5776633682546,64.4725417641447,62.8263504571932,66.6226710841984,63.3046134169808,67.2901550980487,68.2692470152351,62.1128018650703,67.9100083939682,65.3276268009078,67.0712734844882,66.2894286354335,62.6747095815301,61.3793350457128,61.6142746206975,59.7366663826126,58.1358950469436,56.8035920631962,59.3267710528988,57.5955613085434,59.3691322763551,54.0573808876732,NA
608,"PHL","Philippines",NA,NA,NA,NA,NA,NA,NA,51.3023895197715,49.3509232318599,48.8220306367131,49.0496358564698,52.8917431293326,56.0636222343221,49.5060121549712,55.3742139105092,54.7835803973661,53.6992125288847,56.3637484742863,54.8878776047073,51.9942247396246,57.598885225073,59.1416122936107,59.6586452059217,55.3455177982909,59.9506343271697,60.8082262698212,61.8377866646957,59.8086481613459,60.1402920487795,NA
616,"POL","Poland",NA,NA,NA,NA,NA,NA,NA,42.1926685569057,45.7155629700443,44.4322909827393,43.670849578819,49.5888301319009,50.1066771722822,49.6961719374542,49.2343706442158,51.9933847789405,52.298279797727,53.1841227252164,53.6593275378914,54.7375520994915,55.4533699486915,56.7841399907324,57.4025080727074,59.3978988664434,59.7513163619986,56.704512684249,60.4546829065582,57.7575967371383,57.9097803160369,NA
620,"PRT","Portugal",NA,NA,NA,NA,NA,NA,NA,47.2068423423309,53.6437035303931,44.6796531902669,52.7121533656674,55.7964801245783,60.7728744450799,58.3297558171119,57.0572727811972,55.3560346081211,57.5345423923611,58.3458470152157,65.983821942855,61.6869729391998,58.8119811183507,48.5998429341209,67.2319649985504,67.6895069258632,66.4940696483816,66.9850329756423,65.7159792769116,65.959596068484,59.5543768199857,NA
634,"QAT","Qatar",NA,NA,NA,NA,NA,NA,NA,45.9128725749647,45.1446105166954,46.4925020690208,45.8878478251915,45.8758304247861,46.0931806025244,48.268503246953,42.874025074767,47.8296850514626,45.3808718536833,46.4326180423331,45.777796782102,44.6298557714354,43.2608840961532,39.3236510805325,39.9528860779678,41.1980607342987,39.9628255877095,38.7577159937362,37.3005408638426,38.4568717580631,39.1873203527979,NA
178,"COG","Republic of Congo",NA,NA,NA,NA,NA,NA,NA,40.0176691295608,35.9286107911373,36.2637396419861,35.9086493467926,36.3618865057098,32.4673599389891,34.0443815099001,32.7753313955396,33.1436658096066,37.8329871604726,33.9937527360226,36.9117015277796,35.1655621906416,33.1668833993602,36.8598920104416,34.5080788751032,33.5680631231393,32.6573605388425,31.2104797162495,33.054644734768,31.7524774430354,31.3360513177514,NA
642,"ROU","Romania",NA,NA,NA,NA,NA,NA,NA,45.1472951488955,47.2487943610071,46.8059982338509,47.4656095096325,50.1892758363741,50.5869170643022,52.1760697178033,51.7530075721106,51.9028743678566,51.9873662252307,54.4430536457474,55.0497787573383,54.7763754434551,56.1094077658978,57.03994927225,58.0162243515132,58.3798020023812,59.3078350774796,57.7737798012861,60.4554638752037,58.9338102671663,58.4800988828401,NA
643,"RUS","Russia",NA,NA,NA,NA,NA,NA,NA,49.7013683515162,55.597541175734,53.416122245471,54.7837658376556,54.0012662798097,55.2384777954364,57.7102268389585,43.1212448844458,58.5737667043198,55.1478614780922,58.5929577580467,57.4616051344976,57.9198039554813,58.1107884874178,60.788729598079,59.1038007105207,58.5739929331417,60.9440626905642,56.5330221748952,59.4909199020811,58.3991225932829,59.1904672200135,NA
646,"RWA","Rwanda",NA,NA,NA,NA,NA,NA,NA,16.2609349902539,16.3839641651882,14.8745355448363,16.5082560783858,13.7633853189843,13.9601435845397,15.4771488610675,13.2227203337403,12.2185606026769,10.8840772794327,12.0811643920881,11.943252652286,11.8585765520957,11.7076853871095,13.3197612885358,12.0707944118101,10.7538834321716,10.8227605222173,12.8121339270767,13.4059112342602,11.8457778508999,10.9676634034906,NA
652,"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,NA,76.8790075338299,79.432789420601,78.7841726819734,78.7261773016181,80.3746101285042,81.2412985640453,83.3777623407765,81.0717768548582,83.5853200772184,82.5468562328729,83.3590871554827,85.0044689027574,83.9606638536364,84.3849101886901,84.797901633794,85.4730542896938,86.5080192640957,84.7970270140658,83.8406860098683,86.4686353041281,83.5699647858076,82.9444466513588,NA
659,"KNA","Saint Kitts and Nevis",NA,NA,NA,NA,NA,NA,NA,74.6086184792927,79.3696998843928,78.2259777252227,75.7369522582046,79.6267651275849,81.1578119235624,82.3806572246275,79.5996771828042,83.1753175465326,82.2739751355655,83.0629901234043,84.6665159779501,83.2974039541912,83.7674145647463,84.6549922440274,84.7553147621088,85.8080418062173,84.3902714360419,83.3816002966632,86.2364235781004,83.3190221506858,82.4869165541766,NA
662,"LCA","Saint Lucia",NA,NA,NA,NA,NA,NA,NA,78.1144505946474,79.8939416997893,79.0609657008837,80.4011372235093,80.1066988471295,81.6887056091836,83.7536068318299,81.7868947349333,82.8563372631886,82.7847726131538,82.9272505819453,84.5073170629137,83.0894559330194,83.1657910910637,84.1363316783495,85.1577510244768,85.7828752555272,83.6380944638839,83.3284643421349,85.8426764590779,82.8577837334628,81.4756298831703,NA
882,"WSM","Samoa",NA,NA,NA,NA,NA,NA,NA,93.7492175327349,94.8617719436372,95.0171575350807,95.8566394624293,94.7835183362215,97.6944943866245,99.5678418217926,98.3653532285543,99.9222660425662,99.1935150936703,100,100,99.4475417677944,100,99.0812915375024,99.9350894912909,100,98.5265649650931,100,100,99.386789717248,96.7341565353056,NA
674,"SMR","San Marino",NA,NA,NA,NA,NA,NA,NA,38.0551401218881,40.3680791345435,41.4969248828981,42.6624745210977,44.4510969846077,46.4810981677175,48.3020407755155,48.8107766706366,47.4590060749411,48.3709692444664,49.5775803833705,50.7476289562885,48.9145682779366,51.6966050785087,52.4766316853448,54.7597767201483,56.1785427082789,56.0960154377504,56.6056807149256,56.8625355022183,55.8542027524418,55.5147320270348,NA
678,"STP","Sao Tome and Principe",NA,NA,NA,NA,NA,NA,NA,75.9277820329934,72.910844981127,71.9958146019544,75.1401468095252,73.5717913375972,72.0534066646532,75.3203835776953,73.4879142573208,73.2115702427413,77.5460990476389,74.8151045319114,77.0077526881852,71.4933069934665,71.2029084233998,70.5454250394245,72.008460853378,70.061950254094,68.2178415725085,69.8392823683234,70.6591005025511,68.498539610046,66.9238376240693,NA
682,"SAU","Saudi Arabia",NA,NA,NA,NA,NA,NA,NA,58.7991207477405,59.689267529364,59.6480708988781,60.1575899290579,58.822088347102,59.7493473837812,60.9911132700184,59.1061551816968,60.0011725588764,58.867850223804,59.0486688444303,59.7094833917755,58.5352231859214,57.7904737274198,54.7569707139528,55.5652248369922,55.7766736009921,54.3604459236248,53.5908076961156,54.8295711508448,54.1817707140942,55.061129628588,NA
686,"SEN","Senegal",NA,NA,NA,NA,NA,NA,NA,60.1058984947059,59.1375899373638,57.9765798644022,58.8346069592304,58.4570981198101,57.5369353660952,59.903246710776,55.8792080063533,58.3327908349368,60.0343593940654,57.7587385570542,60.2815272235236,57.3113885203314,56.9647570411688,57.3021971171915,59.547295545549,58.2008985837846,54.2948174811664,55.0159186778456,55.8587299853806,54.6398889985742,53.7502762127936,NA
