"code","iso","country","RLI.ind.1996","RLI.ind.1997","RLI.ind.1998","RLI.ind.1999","RLI.ind.2000","RLI.ind.2001","RLI.ind.2002","RLI.ind.2003","RLI.ind.2004","RLI.ind.2005","RLI.ind.2006","RLI.ind.2007","RLI.ind.2008","RLI.ind.2009","RLI.ind.2010","RLI.ind.2011","RLI.ind.2012","RLI.ind.2013","RLI.ind.2014","RLI.ind.2015","RLI.ind.2016","RLI.ind.2017","RLI.ind.2018","RLI.ind.2019","RLI.ind.2020","RLI.ind.2021","RLI.ind.2022","RLI.ind.2023","RLI.ind.2024","RLI.ind.2025"
531,"CUW","Curacao",NA,NA,NA,NA,63.4698641663275,61.3108118326364,59.0327059425422,57.0152308110604,54.7467779120258,52.6295552062603,50.4544145541364,48.36615082155,46.3711993358742,46.1781395146798,46.0719566130228,45.9561207203062,45.8113258544104,45.6761839795742,45.4477298578275,45.2611053640062,45.1066575070507,44.9747332959012,44.8492444121248,44.7655851562739,44.6851435641095,44.6079196356317,44.5467840255868,44.5113897250345,44.4566894423628,44.3987714960045
196,"CYP","Cyprus",NA,NA,NA,NA,66.674657198155,65.5130806073018,64.3772453259413,63.2639336903867,62.144186727459,60.9826101366059,59.8145982183796,58.6465863001533,57.4689213908673,56.7546000524479,56.0306257229688,55.274474756624,54.6856423019809,54.0646332104722,53.4564947737098,52.9609745659774,52.4911956677376,51.8830572309751,51.287789448959,50.67643334851,50.0715125754341,49.460156474985,48.8488003745361,48.2342266104004,47.6293058373246,47.3268454507866
203,"CZE","Czechia",NA,NA,NA,NA,88.6287765316481,88.5965998947824,88.577293912663,88.5547702668569,88.4904169931255,88.3134454903639,88.10107968705,87.8533195831839,87.6023418156311,87.338493393332,87.1100392715853,86.8815851498386,86.7078313107636,86.5952130817335,86.5405127990617,86.4922478437631,86.4021532605391,86.312058677315,86.1125635287474,85.9452450170456,85.7586205232243,85.5237310741044,85.3467595713428,85.1858763870142,85.0089048842526,84.8222803904313
180,"COD","Dem. Rep. Congo",NA,NA,NA,NA,82.084048593157,82.0679602747241,82.0647426110375,82.0679602747241,82.0550896199778,82.0357836378584,81.9810833551866,81.9778656915001,81.9489067183209,81.9296007362015,81.9199477451417,81.9038594267089,81.9135124177686,81.8845534445894,81.8909887719626,81.8716827898431,81.8395061529774,81.8105471797982,81.7622822244996,81.736540915007,81.7236702602607,81.6721876412755,81.6818406323353,81.6721876412755,81.6593169865292,81.6400110044098
208,"DNK","Denmark",NA,NA,NA,NA,92.6025911845668,92.4771023007904,92.3612664080738,92.2550835064168,92.1456829410733,92.0845473310284,92.0266293846701,91.9687114383118,91.91401115564,91.8657462003414,91.8142635813562,91.7756516171173,91.7595632986845,91.7595632986845,91.7692162897442,91.785304608177,91.8046105902965,91.8239165724159,91.8400048908488,91.8528755455951,91.868963864028,91.8850521824608,91.8947051735205,91.9043581645803,91.9204464830132,91.9300994740729
262,"DJI","Djibouti",NA,NA,NA,NA,52.880532973813,52.4976309951107,52.2305649091251,51.8734042399154,51.5677261896909,51.4358019785414,51.2491774847201,51.0175056992868,50.6635626937637,50.2742253876882,49.9460236916577,49.5148567576568,49.0450778594171,48.6364345712221,48.0926494081912,47.7290534116084,47.2689275044283,46.734795332457,46.3808523269339,45.9947326845451,45.3962472388423,44.968297968528,44.4309481328702,44.0448284904813,43.571831928555,43.0827470481958
212,"DMA","Dominica",NA,NA,NA,NA,6.20188587268666,4.54800673778774,2.37930141303696,0.217031415659375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
214,"DOM","Dominican Republic",NA,NA,NA,NA,20.9902681761799,19.2945594133555,17.6310272873969,15.9674951614382,14.3136160265393,12.7208725016852,11.1313466405177,9.54503844303686,7.95873024555597,7.92011828131708,7.88794164445135,7.85254734389905,7.81715304334672,7.77854107910783,7.74314677855554,7.70453481431665,7.66592285007776,7.63052854952543,7.59513424897314,7.5629576121074,7.52756331155507,7.49216901100278,7.46321003782361,7.42138040989816,7.39885676409214,7.36346246353981
218,"ECU","Ecuador",NA,NA,NA,NA,41.1907608004904,40.4442628252052,39.7267238230993,38.9383962198887,38.3206047920665,37.4614885877513,36.7954322046305,36.1229404941366,35.1672943792242,34.2792192017298,33.1433839203693,32.0815549037999,30.5917766169162,29.4173293713168,28.03373398609,26.727362529341,25.5078679921296,24.4138623386945,23.2651564025876,22.2741159871229,20.7038961080749,19.6163257820129,18.3421309621297,17.3028255913664,16.0833310541549,14.9861077370332
818,"EGY","Egypt",NA,NA,NA,NA,81.5917460491112,81.2281500525284,80.8388127464529,80.4880874046164,80.211368327571,79.9571728963317,79.6772361555998,79.5099176438979,79.1913689389271,78.9082145345086,78.5124419010601,78.226069832955,77.9300447737902,77.5761017682671,77.2511177359231,77.0516225873555,76.5528847159366,76.3244305941899,75.9672699249802,75.6615918747556,75.1885953128293,74.9150938994705,74.58689220344,74.2490375163497,73.8146529186623,73.5926341242887
222,"SLV","El Salvador",NA,NA,NA,NA,63.1255741518641,62.2664579475489,61.2239349130989,60.5128312383661,59.5764911055731,58.6015390085413,57.7713817774052,56.8286063172391,56.0081020771628,55.3034337298031,54.5987653824434,53.8876617077106,53.1701227056047,52.465454358245,51.7575683471988,51.0496823361525,50.3192726793003,49.6242573230003,48.9131536482675,48.2052676372213,47.497381626175,46.7894956151288,46.0816096040826,45.3705059293497,44.6658375819901,44.3054592490938
226,"GNQ","Equatorial Guinea",NA,NA,NA,NA,43.2693715420171,41.1231898630723,39.5754936298303,37.4775769061842,35.5501963579264,33.7965696487437,32.1298198590985,30.4823760515727,28.4359419469117,27.4191602219544,27.4352485403873,27.6926616353132,27.8728508017613,28.03373398609,27.9565100576123,28.0916519324483,28.1463522151201,28.184964179359,28.6579607412853,28.5871721401807,28.8992855177784,28.8799795356589,29.4462883444959,29.2982758149135,29.8195373321385,30.1380860371093
