iso,country,BCA,BER,BHI,BTO,BTZ,CDA,CHA,COE,FCD,FGA,GEL,GHO,GTI,GTP,HFD,HPE,KFL,KGL,LUF,MHP,MKP,MPE,NDA,NOD,NXA,OEB,OEC,OZD,PAC,PAE,PAR,PBD,PHL,PMD,PRS,PSU,RCY,RLI,RMS,SDA,SHI,SMW,SNM,SOE,SPI,TBN,TCL,TKP,USD,UWD,VOE,WWT
HRV,Croatia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.0581372256975,66.4376321353065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.2583317379084,NA,NA,57.6081000000001,NA,NA,NA,83.62,100,NA,95.0002943835746,NA,NA,NA,NA
CUB,Cuba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.6095004291132,80.8904008282799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,61.3089,NA,NA,NA,38.92,41.662899728734,NA,71.8703478016583,NA,NA,NA,NA
CUW,Curacao,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.3987714960045,NA,NA,NA,NA,NA,NA,20.61,55.337037748538,NA,35.137786882776,NA,NA,NA,NA
CYP,Cyprus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1273109156321,7.94165316045381,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.3268454507866,NA,NA,NA,NA,NA,NA,61.35,100,NA,59.9388493203631,NA,NA,NA,NA
CZE,Czechia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84.8222803904313,NA,NA,42.25,NA,NA,NA,95.56,69.9132068556717,NA,98.3979984132394,NA,NA,NA,NA
COD,Dem. Rep. Congo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.6400110044098,NA,NA,74.1321,NA,NA,NA,63.36,49.437491826732,NA,65.9837233305065,NA,NA,NA,NA
DNK,Denmark,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9349814441425,62.3578214906998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.9300994740729,NA,NA,67.8975999999999,NA,NA,NA,93.32,50.322155469825,NA,67.6454685446945,NA,NA,NA,NA
DJI,Djibouti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.0827470481958,NA,NA,NA,NA,NA,NA,4.16,4.42400806374403,NA,2.06625868321936,NA,NA,NA,NA
DMA,Dominica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.47243839169909,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,25.42,70.3766868540993,NA,89.8445953541124,NA,NA,NA,NA
DOM,Dominican Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.6506285201357,86.8421052631579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.36346246353981,NA,NA,80.4609,NA,NA,NA,53.28,70.0576162656717,NA,95.8394703345278,NA,NA,NA,NA
