"code","iso","country","LDA.raw.2005","LDA.raw.2006","LDA.raw.2007","LDA.raw.2008","LDA.raw.2009","LDA.raw.2010","LDA.raw.2011","LDA.raw.2012","LDA.raw.2013","LDA.raw.2014","LDA.raw.2015","LDA.raw.2016","LDA.raw.2017","LDA.raw.2018","LDA.raw.2019","LDA.raw.2020","LDA.raw.2021","LDA.raw.2022","LDA.raw.2023"
620,"PRT","Portugal",9147,9147,9147,9147,9159,9159,9159,9159,9160.52,9160.56,9160.56,9160.56,9160.56,9160.56,9160.56,9160.56,9160.56,9160.56,9160.56
634,"QAT","Qatar",1161,1161,1161,1161,1161,1161,1161,1161,1161,1149,1149,1149,1149,1149,1149,1149,1149,1149,1149
178,"COG","Republic of Congo",34150,34150,34150,34150,34150,34150,34150,34150,34150,34150,34150,34150,34150,34150,34150,34150,34150,34150,34150
642,"ROU","Romania",22998,22998,22989,22990,23006,23005,23017,23002,23003,23008,23008,23008,23008,23008,23008,23008,23008,23008,23008
643,"RUS","Russia",1638139,1637774,1637774,1637687,1637687,1637687,1637687,1637687,1637687,1637687,1637687,1637687,1637687,1637687,1637687,1637687,1637687,1637687,1637687
646,"RWA","Rwanda",2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467,2467
652,"BLM","Saint Barthelemy",NA,NA,NA,NA,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2
659,"KNA","Saint Kitts and Nevis",26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26
662,"LCA","Saint Lucia",61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
882,"WSM","Samoa",283,283,283,283,283,283,283,283,283,283,283,283,278,278,278,278,278,278,278
674,"SMR","San Marino",6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
678,"STP","Sao Tome and Principe",96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
682,"SAU","Saudi Arabia",214969,214969,214969,214969,214969,214969,214969,214969,214969,214969,214969,214969,214969,214969,214969,214969,214969,214969,214969
686,"SEN","Senegal",19253,19253,19253,19253,19253,19253,19253,19253,19253,19253,19253,19253,19253,19253,19253,19253,19253,19253,19253
688,"SRB","Serbia",8746,8746,8746,8746,8746,8746,8746,8746,8746,8746,8746,8746,8746,8746,8746,8409,8409,8409,8409
690,"SYC","Seychelles",46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46
694,"SLE","Sierra Leone",7218,7218,7218,7218,7218,7218,7218,7218,7218,7218,7218,7218,7218,7218,7218,7218,7218,7218,7218
702,"SGP","Singapore",68.9,69.4,69.5,70,70,70.2,70.4,70.6,70.7,70.9,70.9,70.9,71.2,71.4,71.6,71.8,71.8,71.8,71.8
534,"SXM","Sint Maarten",NA,NA,NA,NA,NA,NA,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4,3.4
703,"SVK","Slovakia",4810,4810,4810,4810,4809,4809.1,4808.8,4808.8,4808.8,4808,4808.2,4808,4808,4808,4808,4808,4808,4808,4808
705,"SVN","Slovenia",2014,2014,2014,2014.62,2014.58,2014.62,2014.6,2014.57,2014,2014,2014.26,2014.2,2013.81,2013.64,2013.64,2013.64,2013.64,2013.64,2013.45
90,"SLB","Solomon Islands",2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799,2799
706,"SOM","Somalia",62734,62734,62734,62734,62734,62734,62734,62734,62734,62734,62734,62734,62734,62734,62734,62734,62734,62734,62734
